# cell name, slice location, slice type, tile location, tile type, clock region
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[0].cell/FF_REG,SLICE_X0Y0,SLICEL,CLBLL_L_X2Y0,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[1].cell/FF_REG,SLICE_X0Y1,SLICEL,CLBLL_L_X2Y1,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[2].cell/FF_REG,SLICE_X0Y2,SLICEL,CLBLL_L_X2Y2,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[3].cell/FF_REG,SLICE_X0Y3,SLICEL,CLBLL_L_X2Y3,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[4].cell/FF_REG,SLICE_X0Y4,SLICEL,CLBLL_L_X2Y4,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[5].cell/FF_REG,SLICE_X0Y5,SLICEL,CLBLL_L_X2Y5,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[6].cell/FF_REG,SLICE_X0Y6,SLICEL,CLBLL_L_X2Y6,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[7].cell/FF_REG,SLICE_X0Y7,SLICEL,CLBLL_L_X2Y7,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[8].cell/FF_REG,SLICE_X0Y8,SLICEL,CLBLL_L_X2Y8,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[9].cell/FF_REG,SLICE_X0Y9,SLICEL,CLBLL_L_X2Y9,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[10].cell/FF_REG,SLICE_X0Y10,SLICEL,CLBLL_L_X2Y10,CLBLL_L,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[11].cell/FF_REG,SLICE_X0Y11,SLICEL,CLBLL_L_X2Y11,CLBLL_L,X0Y0
