# cell name, slice location, slice type, tile location, tile type, clock region
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[0].cell/FF_REG,SLICE_X2Y0,SLICEM,CLBLM_R_X3Y0,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[1].cell/FF_REG,SLICE_X2Y1,SLICEM,CLBLM_R_X3Y1,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[2].cell/FF_REG,SLICE_X2Y2,SLICEM,CLBLM_R_X3Y2,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[3].cell/FF_REG,SLICE_X2Y3,SLICEM,CLBLM_R_X3Y3,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[4].cell/FF_REG,SLICE_X2Y4,SLICEM,CLBLM_R_X3Y4,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[5].cell/FF_REG,SLICE_X2Y5,SLICEM,CLBLM_R_X3Y5,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[6].cell/FF_REG,SLICE_X2Y6,SLICEM,CLBLM_R_X3Y6,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[7].cell/FF_REG,SLICE_X2Y7,SLICEM,CLBLM_R_X3Y7,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[8].cell/FF_REG,SLICE_X2Y8,SLICEM,CLBLM_R_X3Y8,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[9].cell/FF_REG,SLICE_X2Y9,SLICEM,CLBLM_R_X3Y9,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[10].cell/FF_REG,SLICE_X2Y10,SLICEM,CLBLM_R_X3Y10,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[11].cell/FF_REG,SLICE_X2Y11,SLICEM,CLBLM_R_X3Y11,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[12].cell/FF_REG,SLICE_X2Y12,SLICEM,CLBLM_R_X3Y12,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[13].cell/FF_REG,SLICE_X2Y13,SLICEM,CLBLM_R_X3Y13,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[14].cell/FF_REG,SLICE_X2Y14,SLICEM,CLBLM_R_X3Y14,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[15].cell/FF_REG,SLICE_X2Y15,SLICEM,CLBLM_R_X3Y15,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[16].cell/FF_REG,SLICE_X2Y16,SLICEM,CLBLM_R_X3Y16,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[17].cell/FF_REG,SLICE_X2Y17,SLICEM,CLBLM_R_X3Y17,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[18].cell/FF_REG,SLICE_X2Y18,SLICEM,CLBLM_R_X3Y18,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[19].cell/FF_REG,SLICE_X2Y19,SLICEM,CLBLM_R_X3Y19,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[20].cell/FF_REG,SLICE_X2Y20,SLICEM,CLBLM_R_X3Y20,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[21].cell/FF_REG,SLICE_X2Y21,SLICEM,CLBLM_R_X3Y21,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[22].cell/FF_REG,SLICE_X2Y22,SLICEM,CLBLM_R_X3Y22,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[23].cell/FF_REG,SLICE_X2Y23,SLICEM,CLBLM_R_X3Y23,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[24].cell/FF_REG,SLICE_X2Y24,SLICEM,CLBLM_R_X3Y24,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[25].cell/FF_REG,SLICE_X2Y25,SLICEM,CLBLM_R_X3Y25,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[26].cell/FF_REG,SLICE_X2Y26,SLICEM,CLBLM_R_X3Y26,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[27].cell/FF_REG,SLICE_X2Y27,SLICEM,CLBLM_R_X3Y27,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[28].cell/FF_REG,SLICE_X2Y28,SLICEM,CLBLM_R_X3Y28,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[29].cell/FF_REG,SLICE_X2Y29,SLICEM,CLBLM_R_X3Y29,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[30].cell/FF_REG,SLICE_X2Y30,SLICEM,CLBLM_R_X3Y30,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[31].cell/FF_REG,SLICE_X2Y31,SLICEM,CLBLM_R_X3Y31,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[32].cell/FF_REG,SLICE_X2Y32,SLICEM,CLBLM_R_X3Y32,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[33].cell/FF_REG,SLICE_X2Y33,SLICEM,CLBLM_R_X3Y33,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[34].cell/FF_REG,SLICE_X2Y34,SLICEM,CLBLM_R_X3Y34,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[35].cell/FF_REG,SLICE_X2Y35,SLICEM,CLBLM_R_X3Y35,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[36].cell/FF_REG,SLICE_X2Y36,SLICEM,CLBLM_R_X3Y36,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[37].cell/FF_REG,SLICE_X2Y37,SLICEM,CLBLM_R_X3Y37,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[38].cell/FF_REG,SLICE_X2Y38,SLICEM,CLBLM_R_X3Y38,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[39].cell/FF_REG,SLICE_X2Y39,SLICEM,CLBLM_R_X3Y39,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[40].cell/FF_REG,SLICE_X2Y40,SLICEM,CLBLM_R_X3Y40,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[41].cell/FF_REG,SLICE_X2Y41,SLICEM,CLBLM_R_X3Y41,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[42].cell/FF_REG,SLICE_X2Y42,SLICEM,CLBLM_R_X3Y42,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[43].cell/FF_REG,SLICE_X2Y43,SLICEM,CLBLM_R_X3Y43,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[44].cell/FF_REG,SLICE_X2Y44,SLICEM,CLBLM_R_X3Y44,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[45].cell/FF_REG,SLICE_X2Y45,SLICEM,CLBLM_R_X3Y45,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[46].cell/FF_REG,SLICE_X2Y46,SLICEM,CLBLM_R_X3Y46,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[47].cell/FF_REG,SLICE_X2Y47,SLICEM,CLBLM_R_X3Y47,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[48].cell/FF_REG,SLICE_X2Y48,SLICEM,CLBLM_R_X3Y48,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[49].cell/FF_REG,SLICE_X2Y49,SLICEM,CLBLM_R_X3Y49,CLBLM_R,X0Y0
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[50].cell/FF_REG,SLICE_X2Y50,SLICEM,CLBLM_R_X3Y50,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[51].cell/FF_REG,SLICE_X2Y51,SLICEM,CLBLM_R_X3Y51,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[52].cell/FF_REG,SLICE_X2Y52,SLICEM,CLBLM_R_X3Y52,CLBLM_R,X0Y1
